clase,olor,color_sombrero,forma_sombrero,superficie_sombrero,color_laminas,tamano_laminas,forma_tallo,color_tallo,tipo_anillo,numero_anillos,color_espora,poblacion,habitat,moretones,color_velo,textura,diametro_sombrero_cm,altura_tallo_cm
venenoso,picante,canela,hundido,fibrosa,morado,angosta,agrandada,rosa,grande,ninguno,morado,dispersa,desechos,no,naranja,húmeda,6.2,6.6
venenoso,fétido,gris,campana,estriada,marrón,angosta,agrandada,gris,ninguno,ninguno,café,numerosa,pastizal,sí,naranja,húmeda,5.5,6.6
venenoso,fétido,canela,campana,escamosa,gris,ancha,agrandada,canela,ninguno,dos,negro,agrupada,urbano,no,blanco,húmeda,4.8,9.4
venenoso,pescado,amarillo,plano,fibrosa,rojo,ancha,agrandada,blanco,colgante,uno,marrón,dispersa,urbano,no,marrón,húmeda,6.6,3.5
venenoso,pescado,marrón,nudoso,estriada,verde,ancha,ahusada,gris,ninguno,uno,marrón,varias,pastizal,no,blanco,húmeda,10.7,9.7
comestible,almendra,blanco,hundido,escamosa,gris,ancha,agrandada,blanco,colgante,ninguno,morado,dispersa,urbano,no,naranja,viscosa,7.3,4.7
comestible,ninguno,rosa,cónico,fibrosa,rosa,ancha,agrandada,gris,evanescente,ninguno,blanco,solitaria,senderos,no,blanco,viscosa,2.9,8.6
comestible,ninguno,verde,convexo,fibrosa,gris,angosta,agrandada,rosa,ninguno,dos,blanco,agrupada,senderos,no,blanco,viscosa,6.2,6.3
venenoso,creosota,rosa,hundido,escamosa,blanco,ancha,ahusada,canela,colgante,dos,verde,numerosa,urbano,sí,marrón,húmeda,3.1,9.2
comestible,pescado,amarillo,plano,lisa,verde,ancha,ahusada,marrón,grande,ninguno,café,solitaria,urbano,sí,blanco,seca,3.3,4.5
venenoso,fétido,blanco,convexo,lisa,rosa,angosta,agrandada,rosa,evanescente,ninguno,negro,dispersa,bosque,sí,marrón,seca,4.3,4.9
venenoso,picante,blanco,campana,escamosa,negro,angosta,ahusada,gris,evanescente,dos,marrón,varias,senderos,no,blanco,seca,4.9,5.9
venenoso,creosota,amarillo,convexo,estriada,blanco,ancha,agrandada,canela,colgante,uno,marrón,solitaria,hojas,no,naranja,viscosa,4.0,5.6
venenoso,pescado,amarillo,convexo,lisa,blanco,ancha,agrandada,gris,colgante,dos,negro,dispersa,urbano,sí,blanco,viscosa,4.4,6.2
venenoso,picante,amarillo,cónico,estriada,negro,angosta,ahusada,blanco,evanescente,ninguno,café,solitaria,pastizal,no,blanco,seca,5.7,7.5
comestible,almendra,rojo,plano,estriada,verde,angosta,agrandada,gris,grande,ninguno,negro,dispersa,senderos,no,marrón,viscosa,7.1,6.6
venenoso,almendra,marrón,cónico,lisa,blanco,angosta,agrandada,blanco,colgante,ninguno,verde,dispersa,pastizal,sí,marrón,seca,5.1,4.2
venenoso,mohoso,canela,plano,escamosa,blanco,angosta,agrandada,canela,grande,uno,negro,numerosa,bosque,sí,marrón,seca,11.5,7.2
venenoso,mohoso,canela,convexo,estriada,blanco,angosta,agrandada,blanco,colgante,uno,blanco,varias,desechos,no,blanco,húmeda,5.8,8.9
comestible,pescado,rosa,hundido,fibrosa,rojo,ancha,agrandada,rosa,colgante,uno,negro,abundante,urbano,no,naranja,húmeda,7.3,11.4
venenoso,mohoso,rosa,convexo,lisa,marrón,angosta,agrandada,blanco,ninguno,dos,marrón,solitaria,hojas,no,naranja,seca,4.7,2.8
comestible,anís,rosa,campana,estriada,gris,angosta,agrandada,gris,grande,dos,blanco,dispersa,desechos,no,marrón,viscosa,3.6,10.0
comestible,anís,marrón,nudoso,fibrosa,rosa,angosta,ahusada,rosa,colgante,ninguno,café,abundante,desechos,no,blanco,seca,8.4,6.6
venenoso,mohoso,rosa,plano,estriada,gris,angosta,ahusada,marrón,evanescente,dos,morado,abundante,hojas,no,naranja,viscosa,4.4,6.7
venenoso,pescado,rosa,campana,estriada,gris,ancha,ahusada,marrón,ninguno,dos,marrón,agrupada,desechos,no,marrón,húmeda,7.9,10.2
comestible,pescado,rosa,hundido,lisa,gris,ancha,agrandada,gris,evanescente,dos,blanco,varias,desechos,no,blanco,seca,5.5,11.7
comestible,anís,blanco,nudoso,lisa,gris,ancha,ahusada,marrón,evanescente,ninguno,marrón,dispersa,desechos,no,naranja,húmeda,6.1,12.9
